update, shannon_diversity, max_fitness, avg_fitness
0, 4.50656, 211.105, 204.24
10, 4.99612, 223.708, 219.713
20, 4.99163, 235.784, 231.492
30, 4.90836, 242.407, 239.775
40, 4.86847, 249.487, 246.15
50, 4.99541, 253.94, 250.85
60, 5.05176, 258.61, 255.878
70, 4.64885, 261.366, 258.66
80, 5.01637, 265.191, 259.992
90, 4.72272, 267.302, 264.649
100, 5.21801, 269.761, 265.526
110, 4.8725, 271.068, 266.824
120, 4.92579, 272.5, 269.003
130, 4.92517, 274.643, 272.146
140, 4.95898, 275.894, 272.928
150, 5.13863, 276.701, 272.944
160, 5.03783, 278.349, 275.224
170, 4.65516, 280.065, 275.905
180, 4.63666, 280.948, 278.496
190, 5.0476, 281.443, 277.315
200, 4.85829, 282.348, 277.302
210, 5.02564, 283.722, 279.003
220, 4.53915, 283.597, 280.322
230, 4.8845, 284.501, 280.878
240, 4.79415, 285.651, 281.696
250, 4.82291, 286.153, 283.632
260, 5.1043, 288.052, 284.055
270, 5.06957, 288.963, 283.249
280, 4.85538, 289.952, 285.914
290, 4.56411, 289.738, 287.237
300, 4.98947, 290.303, 287.013
310, 5.07648, 290.279, 287.773
320, 5.04517, 289.738, 285.917
330, 4.97453, 290.28, 284.915
340, 4.9071, 290.276, 286.578
350, 5.10823, 291.284, 287.228
360, 4.78835, 291.329, 285.97
370, 4.92655, 291.707, 286.38
380, 5.33999, 291.685, 287.949
390, 4.43249, 291.341, 288.33
400, 4.91651, 291.823, 287.348
410, 4.73131, 291.373, 288.565
420, 4.8936, 291.373, 288.016
430, 5.02695, 291.382, 288.461
440, 4.56572, 290.554, 287.972
450, 4.48291, 290.71, 288.214
460, 5.08582, 290.425, 286.822
470, 4.74903, 290.958, 286.013
480, 4.97711, 290.485, 286.808
490, 4.59804, 290.844, 286.548
500, 4.48333, 290.665, 288.455
510, 4.47602, 291.699, 288.107
520, 5.40656, 291.787, 287.117
530, 4.45639, 292.015, 288.227
540, 5.18663, 293.104, 288.335
550, 5.00537, 293.343, 288.739
560, 4.83764, 292.515, 288.943
570, 5.1594, 293.625, 288.913
580, 4.67332, 292.352, 289.54
590, 4.94809, 293.014, 288.577
600, 4.92655, 293.255, 289.579
610, 4.53778, 293.084, 289.784
620, 4.64058, 292.58, 289.876
630, 4.84958, 291.574, 288.614
640, 4.11126, 292.73, 289.059
650, 5.1068, 292.555, 289.56
660, 4.46912, 292.833, 289.994
670, 5.19766, 294.008, 288.57
680, 4.55623, 293.436, 289.701
690, 5.25476, 293.436, 288.8
700, 4.71335, 293.659, 289.702
710, 4.55726, 293.659, 290.729
720, 4.85196, 293.659, 290.444
730, 4.87988, 294.238, 290.206
740, 4.99237, 294.837, 287.843
750, 4.34427, 294.579, 290.966
760, 4.90369, 294.252, 290.576
770, 4.63906, 293.888, 290.694
780, 5.39117, 294.55, 288.62
790, 4.76784, 294.457, 287.973
800, 4.9637, 294.587, 289.802
810, 4.28342, 294.007, 290.934
820, 4.97901, 294.05, 290.718
830, 4.93354, 294.973, 289.707
840, 4.69365, 295.025, 290.433
850, 5.06252, 295.571, 290.88
860, 5.14863, 295.721, 291.305
870, 4.94663, 295.963, 291.342
880, 4.6058, 295.881, 292.709
890, 4.20456, 294.454, 291.432
900, 4.78773, 294.315, 291.065
910, 4.90582, 294.309, 290.799
920, 5.06829, 294.109, 288.923
930, 5.22563, 293.831, 289.956
940, 4.88094, 294.752, 289.693
950, 4.73599, 294.885, 289.447
960, 4.94537, 295.513, 292.009
970, 4.30719, 295.346, 292.376
980, 5.0194, 295.754, 292.182
990, 4.39538, 295.821, 292.314
1000, 5.10556, 295.931, 290.35
1010, 4.48455, 295.695, 291.601
1020, 5.06721, 294.508, 291.629
1030, 4.93869, 293.728, 290.492
1040, 4.5645, 294.258, 290.716
1050, 5.03462, 294.47, 289.25
1060, 4.41224, 294.031, 291.574
1070, 4.91751, 293.931, 288.442
1080, 4.28311, 293.724, 289.936
1090, 4.78803, 292.935, 290.047
1100, 4.98664, 293.425, 289.336
1110, 4.69779, 293.97, 290.36
1120, 5.05763, 294.074, 289.68
1130, 4.93727, 293.641, 290.044
1140, 4.87283, 293.668, 289.358
1150, 5.03821, 293.531, 289.403
1160, 4.92883, 292.896, 289.508
1170, 5.37451, 293.911, 287.067
1180, 4.81127, 293.801, 289.834
1190, 4.98391, 293.991, 289.88
1200, 4.38618, 294.278, 289.808
1210, 4.64378, 294.719, 291.156
1220, 4.60043, 294.318, 291.347
1230, 4.18578, 296.549, 293.258
1240, 5.07007, 296.077, 291.739
1250, 4.90792, 295.202, 290.438
1260, 5.09097, 294.828, 290.959
1270, 4.37069, 294.924, 292.005
1280, 4.84521, 294.792, 291.982
1290, 4.4627, 295.169, 292.422
1300, 4.84147, 295.695, 292.678
1310, 4.06647, 295.089, 290.249
1320, 4.49786, 295.724, 292.43
1330, 4.96928, 294.298, 289.449
1340, 4.71636, 293.721, 289.089
1350, 4.85808, 294.338, 289.769
1360, 4.70847, 294.534, 291.402
1370, 4.319, 295.44, 291.163
1380, 5.02724, 295.264, 290.501
1390, 4.77111, 295.127, 291.798
1400, 4.87657, 295.127, 290.754
1410, 5.004, 294.848, 290.96
1420, 4.91893, 295.85, 290.559
1430, 4.82018, 295.229, 291.614
1440, 4.8395, 294.942, 291.619
1450, 4.99473, 293.317, 289.059
1460, 4.93352, 292.893, 288.626
1470, 5.11061, 294.267, 289.15
1480, 4.71446, 294.529, 289.496
1490, 4.82034, 296, 292.183
1500, 4.64152, 295.212, 291.337
1510, 4.66035, 295.015, 291.265
1520, 4.87377, 295.698, 292.958
1530, 4.99247, 294.63, 290.498
1540, 4.65504, 294.447, 291.161
1550, 4.75815, 294.085, 290.797
1560, 4.9186, 294.002, 290.256
1570, 5.14066, 294.342, 290.716
1580, 5.14595, 294.584, 289.942
1590, 4.87564, 294.658, 289.496
1600, 4.73105, 295.308, 291.875
1610, 4.62163, 294.95, 291.582
1620, 5.18676, 295.488, 288.45
1630, 4.71814, 294.813, 290.815
1640, 4.95234, 293.871, 289.739
1650, 4.92492, 293.869, 289.821
1660, 4.91562, 294.15, 289.382
1670, 4.8553, 293.694, 290.065
1680, 4.76836, 293.482, 290.732
1690, 4.66299, 293.81, 289.549
1700, 5.07914, 294.46, 290.933
1710, 4.86907, 293.944, 290.912
1720, 4.93842, 294.351, 290.099
1730, 5.04928, 293.065, 289.172
1740, 5.18581, 291.862, 286.431
1750, 4.34623, 292.283, 289.292
1760, 4.67295, 293.148, 289.364
1770, 4.28745, 293.148, 290.706
1780, 4.74914, 292.961, 290.148
1790, 4.70441, 292.565, 288.667
1800, 5.04102, 294.192, 289.11
1810, 4.52568, 293.716, 289.183
1820, 4.30628, 293.827, 289.046
1830, 4.77205, 294.986, 289.726
1840, 4.65637, 295.423, 290.124
1850, 4.91283, 294.302, 290.363
1860, 4.32028, 294.551, 290.868
1870, 4.53421, 295.302, 292.443
1880, 4.95985, 295.142, 290.394
1890, 4.90391, 294.762, 290.489
1900, 4.52887, 293.342, 289.165
1910, 4.48159, 293.372, 290.611
1920, 4.60994, 293.676, 289.492
1930, 4.91269, 293.962, 289.279
1940, 5.01371, 294.546, 290.371
1950, 4.83895, 294.787, 291.294
1960, 4.74157, 295.136, 292.594
1970, 5.21664, 294.744, 291.767
1980, 4.70198, 294.893, 291.896
1990, 4.86629, 296.193, 293.378
2000, 4.7832, 296.294, 292.924
2010, 5.05199, 296.713, 292.383
2020, 4.75639, 296.18, 292.816
2030, 4.91928, 296.655, 293.33
2040, 4.85008, 296.488, 293.263
2050, 4.68521, 296.63, 293.323
2060, 4.40558, 296.958, 293.151
2070, 5.03312, 296.45, 292.349
2080, 4.64093, 296.332, 293.56
2090, 4.63315, 297.135, 293.549
2100, 4.80215, 297.217, 293.409
2110, 4.5849, 296.664, 293.195
2120, 5.2535, 296.419, 291.393
2130, 5.12809, 296.446, 289.345
2140, 4.67501, 297.252, 293.695
2150, 4.72092, 296.932, 293.745
2160, 4.63879, 296.983, 292.697
2170, 4.59832, 297.665, 294.936
2180, 5.15515, 297.727, 293.015
2190, 4.65621, 297.621, 293.031
2200, 5.01432, 297.166, 294.034
2210, 5.27221, 296.885, 293.028
2220, 5.25196, 296.828, 291.812
2230, 5.0346, 296.464, 292.397
2240, 4.84689, 295.308, 291.883
2250, 4.96932, 295.716, 291.447
2260, 4.86005, 295.298, 291.088
2270, 5.10676, 295.86, 291.596
2280, 4.6521, 296.086, 293.12
