update, shannon_diversity, max_fitness, avg_fitness
0, 4.41238, 215.365, 207.39
10, 5.00878, 228.193, 223.715
20, 5.07357, 238.151, 233.282
30, 4.9565, 244.298, 241.329
40, 5.24962, 250.835, 244.933
50, 4.94916, 255.392, 251.711
60, 4.80292, 258.653, 255.642
70, 4.79768, 262.45, 258.583
80, 4.69532, 265.052, 262.107
90, 4.73567, 269.603, 266.159
100, 4.9526, 271.822, 267.36
110, 4.86173, 273.963, 270.476
120, 4.75201, 275.086, 270.865
130, 4.89159, 275.811, 271.347
140, 4.85157, 277.794, 272.662
150, 5.11353, 277.851, 274.463
160, 5.11205, 278.504, 275.438
170, 4.44366, 278.966, 275.695
180, 5.03541, 281.146, 276.271
190, 4.9868, 280.807, 276.474
200, 4.63438, 281.452, 278.213
210, 4.9325, 282.62, 278.817
220, 4.84398, 282.734, 280.223
230, 4.89276, 282.964, 280.593
240, 4.61548, 283.096, 280.645
250, 4.7529, 284.851, 281.543
260, 5.03337, 287.175, 283.031
270, 4.78916, 287.892, 284.791
280, 4.91444, 288.348, 284.598
290, 4.7158, 288.06, 285.138
300, 4.83753, 288.042, 286.268
310, 4.58881, 288.348, 283.535
320, 5.04595, 288.374, 285.311
330, 5.06168, 289.059, 284.984
340, 4.61314, 288.826, 285.948
350, 4.94469, 288.737, 283.778
360, 5.31843, 289.176, 284.288
370, 4.54825, 288.533, 285.998
380, 4.41889, 288.073, 285.078
390, 4.76184, 289.057, 286.185
400, 4.26755, 288.676, 285.811
410, 4.42964, 288.529, 285.272
420, 4.92128, 289.228, 284.458
430, 4.87053, 288.899, 285.295
440, 4.58176, 288.697, 286.148
450, 5.12944, 288.08, 284.373
460, 4.94521, 288.683, 285.504
470, 4.66498, 288.729, 285.725
480, 4.96605, 288.729, 285.858
490, 4.92015, 289.649, 285.88
500, 4.13545, 288.266, 284.739
510, 4.93432, 288.101, 285.492
520, 4.30035, 287.516, 284.086
530, 5.1105, 288.927, 285.804
540, 4.5865, 290.019, 286.435
550, 4.83005, 290.852, 287.104
560, 4.91857, 291.324, 287.847
570, 5.10369, 291.962, 288.448
580, 5.05805, 291.602, 287.851
590, 4.79453, 291.453, 288.948
600, 5.12191, 291.498, 286.658
610, 4.90146, 291.842, 288.967
620, 4.57046, 291.37, 288.833
630, 5.01033, 292.585, 288.227
640, 4.56701, 293.343, 290.175
650, 4.72099, 293.542, 290.599
660, 4.78084, 294.553, 290.117
670, 4.92289, 294.349, 291.773
680, 4.71069, 294.072, 290.622
690, 5.18043, 294.123, 289.976
700, 4.9806, 294.234, 291.009
710, 4.2825, 294.395, 291.461
720, 4.86863, 294.199, 290.149
730, 4.4393, 293.866, 291.226
740, 4.84986, 293.54, 290.313
750, 4.78667, 293.308, 289.391
760, 5.09966, 293.372, 288.977
770, 4.79447, 293.352, 290.056
780, 4.77969, 293.065, 289.715
790, 4.1916, 293.226, 291.053
800, 4.88498, 294.093, 290.098
810, 4.43633, 294.376, 291
820, 4.79635, 294.079, 291.684
830, 4.07503, 294.64, 292.174
840, 4.88763, 294.29, 291.248
850, 5.07969, 293.14, 288.518
860, 4.39146, 293.47, 290.788
870, 4.35918, 293.376, 289.917
880, 4.83993, 294.135, 291.164
890, 4.36881, 293.236, 290.23
900, 4.91108, 293.482, 290.056
910, 4.96189, 293.756, 290.702
920, 4.89308, 293.835, 288.531
930, 4.96786, 292.521, 289.655
940, 4.62067, 293.738, 289.748
950, 4.47369, 293.638, 291.08
960, 4.67876, 293.536, 289.932
970, 4.75482, 292.868, 289.823
980, 5.12395, 294.066, 290.54
990, 4.54521, 294.127, 291.036
1000, 5.20008, 295.457, 291.094
1010, 4.77519, 295.084, 291.659
1020, 4.77216, 295.033, 290.441
1030, 5.05934, 295.391, 291.286
1040, 4.86193, 295.625, 292.461
1050, 4.49534, 295.445, 293.769
1060, 4.39472, 295.843, 291.959
1070, 5.03814, 295.835, 292.156
1080, 4.94065, 295.586, 292.191
1090, 4.76637, 295.786, 291.918
1100, 4.35955, 295.667, 292.824
1110, 4.55231, 296.381, 293.563
1120, 4.8125, 295.14, 291.808
1130, 4.76709, 294.585, 291.149
1140, 4.88256, 294.174, 291.006
1150, 5.03289, 295.107, 290.316
1160, 4.69238, 295.03, 291.245
1170, 4.91227, 295.182, 292.737
1180, 5.00016, 296.345, 291.94
1190, 4.65586, 295.034, 291.094
1200, 4.68617, 295.884, 291.554
1210, 4.88395, 296.404, 292.156
1220, 4.88777, 296.282, 293.435
1230, 5.08638, 295.198, 292.551
1240, 4.20237, 296.216, 292.24
1250, 4.45577, 295.864, 292.251
1260, 4.91037, 296.179, 293.326
1270, 5.32479, 295.274, 292.33
1280, 5.26332, 296.373, 292.183
1290, 5.23279, 296.561, 293.084
1300, 4.51124, 296.255, 293.513
1310, 4.83153, 296.016, 292.707
1320, 5.02173, 296.016, 291.239
