update, shannon_diversity, max_fitness, avg_fitness
0, 5.53975, 211.095, 202.33
10, 5.39673, 225.556, 223.341
20, 5.53939, 237.441, 235.041
30, 5.1507, 246.511, 243.808
40, 4.87419, 251.712, 250.277
50, 5.46759, 258.099, 256.098
60, 5.04686, 261.932, 260.585
70, 5.19069, 266.111, 264.137
80, 3.47491, 268.454, 267.325
90, 4.62821, 270.562, 269.292
100, 4.7585, 272.236, 270.658
110, 4.26503, 273.648, 272.289
120, 5.02491, 274.645, 273.17
130, 5.06146, 276.064, 274.003
140, 4.48329, 277.32, 276.015
150, 4.74774, 277.867, 276.629
160, 3.61381, 278.717, 277.04
170, 4.12536, 278.666, 277.473
180, 4.24367, 279.413, 278.166
190, 4.81085, 279.529, 278.303
200, 4.53951, 280.461, 279.264
210, 3.70476, 280.775, 279.541
220, 4.13367, 281.404, 280.275
230, 3.51641, 281.471, 280.471
240, 4.1618, 282.102, 280.671
250, 4.34507, 282.537, 280.928
260, 2.68897, 282.539, 281.557
270, 4.16861, 282.539, 281.19
280, 3.77736, 282.539, 281.351
290, 4.17761, 282.819, 281.64
300, 3.60593, 282.779, 281.737
310, 4.18752, 282.819, 281.35
320, 3.33421, 282.819, 281.354
330, 4.50926, 283.07, 281.778
340, 3.69403, 283.309, 282.097
350, 4.94958, 283.465, 282.116
360, 4.54652, 283.465, 281.986
370, 3.45664, 283.465, 282.457
380, 3.65532, 283.465, 282.194
390, 3.27024, 283.465, 282.21
400, 3.97853, 283.467, 282.247
410, 3.78182, 283.467, 282.326
420, 3.10008, 283.467, 282.079
430, 4.43986, 283.467, 282.238
440, 4.53436, 283.467, 281.965
450, 4.23901, 283.47, 282.312
460, 4.60851, 283.531, 282.183
470, 3.60149, 283.531, 282.608
480, 3.99519, 283.531, 282.23
490, 4.29004, 283.531, 282.252
500, 4.04345, 283.531, 282.248
510, 3.89211, 283.531, 282.296
520, 4.28535, 283.531, 282.243
530, 4.05681, 283.531, 282.35
540, 4.18406, 283.531, 282.261
550, 2.94564, 283.531, 282.528
560, 4.29812, 283.531, 282.333
570, 3.37468, 283.531, 282.322
580, 3.82416, 283.531, 282.304
590, 3.56803, 283.531, 282.391
600, 4.48694, 283.531, 282.105
610, 3.37417, 283.531, 282.311
620, 4.71848, 283.531, 282.223
630, 3.75596, 283.531, 282.489
640, 3.39226, 283.531, 282.511
650, 2.67619, 283.531, 282.626
660, 3.52113, 283.531, 282.356
670, 4.58145, 283.531, 282.225
680, 4.34402, 283.531, 282.463
690, 4.1542, 283.531, 282.225
700, 4.37606, 283.681, 282.349
710, 4.48316, 283.646, 282.367
720, 3.77399, 284.205, 282.916
730, 4.4128, 284.343, 282.99
740, 4.83451, 285.02, 283.493
750, 4.26958, 285.02, 283.743
760, 3.85768, 285.114, 283.897
770, 4.46254, 285.114, 283.794
780, 4.59521, 285.395, 284.055
