update, shannon_diversity, max_fitness, avg_fitness, non_inf
0, 4.00421, 203.72, 199.461, 0.979094
10, 4.94059, 210.39, 207.951, 0.988408
20, 5.1077, 217.428, 215.121, 0.98939
30, 4.76807, 222.751, 221.665, 0.995125
40, 5.06245, 228.65, 226.503, 0.99061
50, 5.09989, 232.876, 231.02, 0.992028
60, 5.07344, 235.664, 233.717, 0.991739
70, 5.30344, 239.364, 237.471, 0.992094
80, 5.00273, 241.85, 240.635, 0.994976
90, 5.09062, 244.22, 242.997, 0.994992
100, 4.81486, 246.15, 244.965, 0.995186
110, 4.78043, 247.609, 246.286, 0.994657
120, 5.13541, 249.044, 247.233, 0.992729
130, 4.78822, 250.335, 248.98, 0.994583
140, 4.79419, 250.973, 249.18, 0.992855
150, 4.80986, 252.126, 250.274, 0.992655
160, 5.16577, 252.995, 251.758, 0.995113
170, 4.88421, 253.039, 252.059, 0.996128
180, 4.95478, 253.396, 252.154, 0.995099
190, 5.05393, 254.459, 252.916, 0.993936
200, 5.04884, 254.946, 253.184, 0.993091
210, 4.81328, 255.154, 254.255, 0.996478
220, 4.75262, 255.362, 254.25, 0.995649
230, 4.58624, 255.48, 254.645, 0.996733
240, 5.11127, 255.413, 254.39, 0.995995
250, 4.93107, 255.6, 254.521, 0.995776
260, 4.52108, 255.748, 255.034, 0.997207
270, 4.80598, 256.226, 254.988, 0.995167
280, 5.15798, 256.078, 254.892, 0.995372
290, 4.69993, 256.491, 255.914, 0.997752
300, 5.07657, 256.644, 255.374, 0.995054
310, 5.02871, 256.854, 255.536, 0.994868
320, 5.19899, 257.018, 255.597, 0.994471
330, 5.10644, 257.25, 256.16, 0.99576
340, 4.82127, 257.301, 256.482, 0.996819
350, 4.86979, 257.426, 256.255, 0.995453
360, 4.61322, 257.455, 256.323, 0.995603
370, 4.79051, 257.645, 256.22, 0.994471
380, 4.81984, 257.816, 256.878, 0.996363
390, 4.81499, 257.851, 256.814, 0.995979
400, 5.00258, 257.824, 256.52, 0.994945
410, 4.67669, 257.759, 256.95, 0.996862
420, 5.16762, 257.358, 256.318, 0.995959
430, 4.98144, 257.362, 256.46, 0.996495
440, 4.87338, 257.189, 256.372, 0.996823
450, 4.79618, 257.167, 255.793, 0.994658
460, 4.68789, 257.154, 255.896, 0.995108
470, 4.84005, 257.365, 256.227, 0.995576
480, 4.64638, 257.419, 256.298, 0.995648
490, 5.02928, 257.569, 256.44, 0.995619
500, 4.93167, 257.568, 256.712, 0.996676
510, 4.24624, 257.512, 256.716, 0.99691
520, 4.78724, 257.699, 256.982, 0.997215
530, 4.74466, 257.554, 256.279, 0.995049
540, 3.85143, 257.628, 256.631, 0.99613
550, 4.84847, 257.574, 256.455, 0.995656
560, 4.88286, 257.488, 256.563, 0.996408
570, 4.7936, 257.588, 256.241, 0.994771
580, 4.81639, 257.569, 256.562, 0.996089
590, 4.97308, 257.622, 256.527, 0.995749
600, 4.81263, 257.762, 256.401, 0.99472
610, 5.17701, 258, 256.68, 0.994886
620, 5.26235, 257.852, 256.571, 0.995032
630, 4.95866, 257.645, 256.828, 0.996828
640, 4.87116, 257.595, 256.455, 0.995576
650, 4.51752, 257.565, 256.583, 0.996186
660, 5.0808, 257.485, 256.161, 0.99486
670, 4.84579, 257.25, 256.359, 0.996538
680, 4.95593, 257.414, 256.24, 0.995439
690, 4.67455, 257.461, 256.341, 0.995651
700, 5.07615, 257.727, 256.078, 0.993602
710, 4.95914, 257.72, 256.486, 0.995213
720, 4.63166, 257.664, 256.276, 0.994615
730, 4.91192, 257.637, 256.884, 0.997076
740, 5.04275, 257.408, 256.259, 0.995537
750, 4.07761, 257.519, 256.828, 0.997317
760, 4.88131, 257.542, 256.519, 0.996027
770, 4.83034, 257.746, 256.636, 0.995694
780, 4.69199, 257.682, 256.672, 0.996079
790, 4.86598, 257.821, 256.763, 0.995899
800, 4.65419, 257.497, 256.395, 0.995721
810, 4.89269, 257.654, 256.564, 0.995771
820, 5.0289, 257.448, 256.107, 0.994789
830, 4.70282, 257.308, 256.528, 0.996965
840, 4.84319, 257.364, 256.586, 0.996976
850, 4.68058, 257.497, 256.414, 0.995793
860, 4.68115, 257.518, 256.311, 0.995312
870, 4.70842, 257.436, 256.334, 0.995721
880, 4.79866, 257.276, 256.418, 0.996665
890, 5.24974, 257.367, 255.616, 0.993197
900, 4.72599, 257.36, 256.524, 0.996748
910, 4.64917, 257.378, 256.43, 0.996315
920, 5.04379, 257.195, 255.597, 0.993788
930, 4.91183, 257.289, 256.257, 0.995989
940, 4.86698, 257.348, 255.924, 0.99447
950, 4.8239, 257.572, 256.402, 0.99546
960, 5.20189, 257.587, 256.715, 0.996616
970, 4.54867, 257.572, 256.882, 0.997322
980, 4.48156, 257.642, 257.003, 0.997519
990, 4.55843, 257.62, 256.441, 0.995422
