update, shannon_diversity, max_fitness, avg_fitness, non_inf
0, 5.38153, 205.405, 196.989, 0.959028
10, 5.25071, 213.955, 212.833, 0.994758
20, 5.43654, 221.855, 219.992, 0.991599
30, 4.81626, 227.824, 227.153, 0.997056
40, 5.07145, 233.804, 232.895, 0.996111
50, 5.19033, 237.987, 237.276, 0.997014
60, 5.2298, 242.177, 241.025, 0.995244
70, 5.02192, 244.742, 243.969, 0.996842
80, 5.01021, 246.963, 246.325, 0.997419
90, 4.86853, 249.078, 248.633, 0.998214
100, 4.51259, 250.511, 250.04, 0.998119
110, 5.15605, 252.229, 251.383, 0.996648
120, 4.57198, 253.526, 253.031, 0.99805
130, 4.56671, 254.282, 253.761, 0.99795
140, 5.35065, 255.037, 254.515, 0.997954
150, 4.90853, 255.459, 254.997, 0.998188
160, 4.83347, 255.805, 255.376, 0.998326
170, 4.36773, 256.073, 255.59, 0.998114
180, 4.56204, 256.128, 255.743, 0.9985
190, 4.33798, 256.209, 255.839, 0.998555
200, 3.72943, 256.297, 255.807, 0.998089
210, 4.75712, 256.314, 255.854, 0.998205
220, 4.20441, 256.314, 255.942, 0.998548
230, 4.95385, 256.355, 255.946, 0.998405
240, 4.58711, 256.39, 255.981, 0.998405
250, 4.03335, 256.4, 256.026, 0.998541
260, 3.84076, 256.483, 256.013, 0.998167
270, 3.78798, 256.483, 256.045, 0.998295
280, 4.78503, 256.508, 256.064, 0.99827
290, 3.73796, 256.508, 256.132, 0.998535
300, 2.7817, 256.515, 256.141, 0.998541
310, 3.57127, 256.525, 256.129, 0.998458
320, 4.57029, 256.551, 256.193, 0.998601
330, 4.0734, 256.554, 256.13, 0.998347
340, 4.64056, 256.554, 256.147, 0.998412
350, 3.86516, 256.554, 256.151, 0.998431
360, 3.20269, 256.554, 256.156, 0.998449
370, 3.69423, 256.554, 256.243, 0.998789
380, 3.49505, 256.554, 256.163, 0.998474
390, 3.45339, 256.554, 256.138, 0.998377
400, 4.164, 256.554, 256.169, 0.998501
410, 3.92596, 256.554, 256.202, 0.998627
420, 4.22028, 256.554, 256.141, 0.998389
430, 2.94209, 256.554, 256.132, 0.998354
440, 4.79658, 256.554, 256.107, 0.998257
450, 3.79934, 256.554, 256.092, 0.998201
460, 2.98749, 256.554, 256.181, 0.998546
470, 3.83239, 256.554, 256.2, 0.998622
480, 3.54944, 256.554, 256.121, 0.998311
490, 5.02859, 256.554, 256.083, 0.998165
500, 3.4449, 256.554, 256.148, 0.998417
510, 3.07604, 256.554, 256.198, 0.998613
520, 4.6033, 256.554, 256.144, 0.998402
530, 3.63656, 256.554, 256.171, 0.998508
540, 3.11008, 256.554, 256.246, 0.998801
550, 3.79279, 256.554, 256.104, 0.998244
560, 3.41192, 256.554, 256.203, 0.998632
570, 3.44177, 256.554, 256.174, 0.99852
580, 3.39352, 256.554, 256.216, 0.998681
590, 3.29662, 256.554, 256.196, 0.998606
600, 4.45175, 256.554, 256.165, 0.998485
610, 3.51337, 256.554, 256.13, 0.998346
620, 3.80819, 256.554, 256.101, 0.998232
630, 2.95456, 256.554, 256.18, 0.998544
640, 3.98052, 256.554, 256.075, 0.998134
650, 3.56024, 256.554, 256.152, 0.998434
660, 3.5599, 256.554, 256.229, 0.998733
670, 4.22085, 256.554, 256.179, 0.998536
680, 4.8386, 256.554, 256.129, 0.998345
690, 3.7398, 256.554, 256.092, 0.998199
700, 3.54913, 256.554, 256.126, 0.998332
710, 3.35856, 256.554, 256.103, 0.998243
720, 3.81714, 256.554, 256.163, 0.998475
730, 3.83872, 256.554, 256.197, 0.998609
740, 4.18718, 256.554, 256.049, 0.998031
750, 3.52401, 256.554, 256.189, 0.998577
760, 3.82505, 256.554, 256.132, 0.998355
770, 3.65632, 256.554, 256.217, 0.998688
780, 4.2678, 256.554, 256.182, 0.998551
790, 3.7232, 256.554, 256.117, 0.998296
800, 3.88703, 256.554, 256.118, 0.998302
810, 3.45127, 256.554, 256.136, 0.998369
820, 3.40611, 256.554, 256.189, 0.998577
830, 3.97197, 256.554, 256.159, 0.99846
840, 4.26877, 256.554, 256.11, 0.99827
850, 3.83117, 256.554, 256.126, 0.998332
860, 4.28595, 256.554, 256.074, 0.99813
870, 3.90453, 256.554, 256.123, 0.998318
880, 4.91411, 256.554, 256.088, 0.998184
890, 4.79368, 256.554, 256.116, 0.998292
900, 3.07422, 256.554, 256.2, 0.998622
910, 4.0045, 256.554, 256.156, 0.998448
920, 4.01723, 256.554, 256.105, 0.998249
930, 3.09008, 256.554, 256.183, 0.998555
940, 3.60931, 256.554, 256.071, 0.998115
950, 3.49555, 256.554, 256.121, 0.998312
960, 3.61402, 256.554, 256.188, 0.998572
970, 3.47127, 256.554, 256.114, 0.998286
980, 3.01778, 256.554, 256.171, 0.998509
990, 3.67261, 256.554, 256.14, 0.998386
