update, shannon_diversity, max_fitness, avg_fitness
0, 5.50606, 208.954, 204.533
10, 5.55601, 218.662, 217.351
20, 5.47751, 227.952, 226.682
30, 5.1807, 234.705, 233.816
40, 5.52799, 241.798, 240.782
50, 4.93799, 247.725, 246.98
60, 5.37184, 252.991, 252.106
70, 5.16833, 256.894, 256.151
80, 4.98764, 259.371, 258.785
90, 5.24033, 261.461, 260.545
100, 5.40582, 262.952, 262.081
110, 5.23127, 263.877, 263.341
120, 5.15095, 265.026, 264.414
130, 4.89267, 265.734, 265.161
140, 4.62176, 266.177, 265.681
150, 5.25724, 266.847, 266.215
160, 4.3137, 267.073, 266.611
170, 4.82223, 267.16, 266.784
180, 4.756, 267.502, 267.026
190, 4.8067, 267.755, 267.243
200, 4.89897, 267.954, 267.433
210, 4.64061, 268.087, 267.607
220, 4.01165, 268.129, 267.751
230, 3.87968, 268.14, 267.777
240, 4.79136, 268.164, 267.744
250, 3.67092, 268.194, 267.753
260, 3.86608, 268.195, 267.785
270, 5.12644, 268.221, 267.758
280, 4.5567, 268.218, 267.782
290, 3.72453, 268.218, 267.838
300, 4.09038, 268.213, 267.793
310, 3.88831, 268.213, 267.817
320, 4.26184, 268.213, 267.8
330, 3.67851, 268.213, 267.788
340, 4.58231, 268.218, 267.821
350, 4.18897, 268.221, 267.758
360, 3.82367, 268.221, 267.831
370, 2.63336, 268.221, 267.925
380, 4.4043, 268.221, 267.815
390, 3.15386, 268.221, 267.812
400, 3.96404, 268.221, 267.842
410, 3.2243, 268.221, 267.893
420, 3.83971, 268.221, 267.828
430, 3.41714, 268.221, 267.962
440, 3.78641, 268.221, 267.744
450, 4.36403, 268.221, 267.794
460, 2.99177, 268.221, 267.873
470, 3.22666, 268.221, 267.823
480, 3.97023, 268.221, 267.794
490, 3.447, 268.221, 267.895
500, 3.68569, 268.221, 267.741
510, 4.10963, 268.221, 267.713
520, 3.73524, 268.221, 267.824
530, 4.58846, 268.221, 267.706
540, 4.95811, 268.221, 267.763
550, 4.33061, 268.221, 267.769
560, 4.51088, 268.221, 267.86
570, 2.7617, 268.221, 267.868
580, 3.30856, 268.221, 267.848
590, 3.56269, 268.221, 267.797
600, 3.89911, 268.221, 267.825
610, 4.68756, 268.221, 267.765
620, 3.74759, 268.221, 267.872
630, 3.24794, 268.221, 267.868
640, 4.15283, 268.221, 267.793
650, 4.05237, 268.221, 267.737
660, 3.78076, 268.221, 267.819
670, 4.80108, 268.221, 267.794
680, 4.10838, 268.221, 267.755
690, 4.85198, 268.221, 267.828
700, 3.9691, 268.221, 267.753
710, 3.60429, 268.221, 267.832
720, 2.7052, 268.221, 267.957
730, 3.37729, 268.221, 267.881
740, 3.35373, 268.221, 267.922
750, 3.52189, 268.221, 267.828
760, 3.35412, 268.221, 267.809
770, 3.21043, 268.221, 267.815
780, 3.44042, 268.221, 267.851
790, 3.41106, 268.221, 267.819
800, 2.98764, 268.221, 267.882
810, 3.36736, 268.221, 267.793
820, 3.89318, 268.221, 267.829
830, 3.22768, 268.221, 267.792
840, 3.52653, 268.221, 267.799
850, 3.7178, 268.221, 267.816
860, 4.18304, 268.221, 267.847
870, 3.70882, 268.221, 267.887
880, 3.43532, 268.221, 267.803
890, 3.6178, 268.221, 267.882
900, 4.10872, 268.221, 267.772
910, 4.83398, 268.221, 267.768
920, 3.26217, 268.221, 267.893
930, 3.73692, 268.221, 267.796
940, 3.54859, 268.221, 267.872
950, 4.88459, 268.221, 267.704
960, 3.98576, 268.221, 267.804
970, 4.25973, 268.221, 267.896
980, 3.83001, 268.221, 267.773
990, 4.78772, 268.221, 267.784
