update, shannon_diversity, max_fitness, avg_fitness
0, 5.44541, 216.058, 209.397
10, 5.33165, 226.956, 225.427
20, 4.90451, 236.16, 234.778
30, 5.32261, 242.988, 241.922
40, 5.22654, 249.161, 247.876
50, 5.48592, 254.518, 253.516
60, 5.00112, 259.926, 258.668
70, 5.32372, 263.363, 262.165
80, 5.31838, 266.821, 265.044
90, 4.85185, 268.624, 267.989
100, 4.60891, 270.06, 269.528
110, 5.13229, 271.785, 270.939
120, 5.11981, 272.587, 271.925
130, 5.02523, 273.246, 272.716
140, 4.80136, 273.804, 273.293
150, 4.23209, 274.384, 273.879
160, 5.13555, 274.606, 274.077
170, 3.59671, 274.865, 274.487
180, 4.80002, 275.192, 274.645
190, 4.0496, 275.323, 274.864
200, 4.24079, 275.351, 274.919
210, 3.91047, 275.424, 275.052
220, 4.39826, 275.518, 274.976
230, 3.37177, 275.528, 275.175
240, 3.72756, 275.589, 275.172
250, 3.6747, 275.589, 275.151
260, 4.68099, 275.589, 275.119
270, 4.20793, 275.598, 275.183
280, 3.98878, 275.598, 275.101
290, 4.75325, 275.598, 275.094
300, 4.21603, 275.598, 275.111
310, 5.01092, 275.63, 275.124
320, 3.25471, 275.63, 275.217
330, 3.78573, 275.63, 275.203
340, 3.92354, 275.63, 275.149
350, 4.26641, 275.63, 275.146
360, 3.23861, 275.63, 275.233
370, 3.82778, 275.63, 275.186
380, 3.59965, 275.63, 275.176
390, 4.69953, 275.63, 275.132
400, 3.81775, 275.63, 275.216
410, 4.13033, 275.63, 275.192
420, 4.15541, 275.63, 275.124
430, 3.76656, 275.63, 275.234
440, 3.66532, 275.596, 275.233
450, 4.18615, 275.596, 275.22
460, 3.77598, 275.596, 275.124
470, 3.55073, 275.598, 275.268
480, 3.52267, 275.63, 275.299
490, 3.67582, 275.63, 275.2
500, 4.12818, 275.63, 275.274
510, 4.1589, 275.63, 275.16
520, 3.36417, 275.63, 275.203
530, 3.5726, 275.63, 275.216
540, 4.20092, 275.63, 275.134
550, 3.99005, 275.63, 275.132
560, 3.22269, 275.63, 275.197
570, 4.45162, 275.63, 275.25
580, 3.0393, 275.63, 275.242
590, 3.5131, 275.63, 275.175
600, 3.9532, 275.63, 275.25
610, 4.30354, 275.63, 275.202
620, 3.86389, 275.63, 275.181
630, 4.51156, 275.63, 275.211
640, 3.94732, 275.63, 275.184
650, 3.7115, 275.63, 275.167
660, 4.43288, 275.63, 275.214
670, 4.06327, 275.63, 275.159
680, 3.8395, 275.63, 275.259
690, 3.53521, 275.63, 275.224
700, 3.04932, 275.63, 275.196
710, 3.98656, 275.63, 275.178
720, 4.15261, 275.63, 275.107
730, 3.35653, 275.63, 275.194
740, 3.53092, 275.63, 275.118
750, 3.40417, 275.63, 275.202
760, 3.11008, 275.63, 275.168
770, 4.57299, 275.63, 275.167
780, 4.60089, 275.63, 275.202
790, 3.61232, 275.63, 275.193
800, 2.99373, 275.63, 275.274
810, 3.29225, 275.63, 275.138
820, 4.41546, 275.63, 275.145
830, 4.09339, 275.63, 275.163
840, 3.84128, 275.63, 275.181
850, 3.12991, 275.63, 275.192
860, 3.9703, 275.63, 275.174
870, 4.39196, 275.63, 275.235
880, 3.72088, 275.63, 275.163
890, 3.23269, 275.63, 275.24
900, 4.72115, 275.63, 275.107
910, 3.23185, 275.63, 275.184
920, 3.7727, 275.63, 275.18
930, 3.94844, 275.63, 275.267
940, 3.98861, 275.63, 275.071
950, 3.74033, 275.63, 275.039
960, 4.61296, 275.63, 275.174
970, 3.39192, 275.63, 275.146
980, 4.92078, 275.63, 275.115
990, 2.93701, 275.63, 275.231
