update, shannon_diversity, max_fitness, avg_fitness
0, 4.35276, 204.037, 199.794
10, 5.25584, 211.463, 207.986
20, 4.62624, 217.78, 216.161
30, 5.03576, 224.61, 222.45
40, 5.40173, 229.207, 226.62
50, 5.03407, 233.602, 231.192
60, 4.8055, 236.913, 235.251
70, 5.20414, 240.412, 238.76
80, 5.12838, 242.735, 241.06
90, 5.0148, 244.577, 243.177
100, 4.85541, 246.764, 245.306
110, 4.70932, 248.873, 247.346
120, 4.81563, 249.537, 247.899
130, 4.99898, 250.589, 249.611
140, 4.79435, 251.186, 250.019
150, 4.70803, 252.475, 251.164
160, 4.70695, 253.273, 252.341
170, 4.55144, 253.607, 252.824
180, 4.87904, 254.517, 253.178
190, 5.43503, 255.41, 253.409
200, 4.93315, 256.036, 254.916
210, 5.00821, 256.467, 255.219
220, 5.05597, 256.577, 255.394
230, 5.14757, 257.035, 255.389
240, 4.8887, 257.43, 256.406
250, 4.60247, 257.692, 256.843
260, 4.85507, 258.232, 257.318
270, 4.75687, 258.253, 257.438
280, 4.64728, 258.395, 257.239
290, 5.06187, 258.752, 257.59
300, 4.69892, 258.832, 257.806
310, 4.86254, 258.901, 257.988
320, 5.29288, 258.831, 257.976
330, 4.86885, 258.925, 257.789
340, 4.7029, 259.012, 257.967
350, 4.46126, 259.151, 257.955
360, 4.81639, 259.251, 257.982
370, 4.97645, 259.349, 257.849
380, 4.68994, 259.293, 258.095
390, 5.24563, 259.682, 258.009
400, 4.70482, 259.43, 258.173
410, 4.81215, 259.432, 258.432
420, 4.97154, 259.729, 258.622
430, 5.04641, 259.708, 258.751
440, 4.67072, 260.021, 258.704
450, 4.92863, 259.918, 258.861
460, 4.91666, 259.933, 258.796
470, 4.77457, 259.961, 259.157
480, 4.98838, 259.983, 258.7
490, 4.90243, 260.071, 258.579
500, 4.78928, 260.164, 258.878
510, 4.77009, 260.292, 259.148
520, 4.55795, 260.145, 259.288
530, 4.79518, 260.074, 259.097
540, 4.74847, 260.198, 259.238
550, 4.77364, 260.198, 259.167
560, 5.02837, 260.292, 259.238
570, 5.06326, 260.043, 258.974
580, 5.00144, 259.866, 258.299
590, 4.76667, 259.876, 258.659
600, 4.98217, 260.125, 259.012
610, 4.24803, 259.943, 258.886
620, 4.46914, 260.072, 259.029
630, 4.81576, 260.09, 259.395
640, 5.07394, 260.157, 259.065
650, 4.64154, 260.157, 258.644
660, 4.95009, 259.657, 258.515
670, 4.22239, 259.714, 258.964
680, 5.07549, 259.547, 258.542
690, 4.62212, 259.602, 258.347
700, 5.1308, 259.8, 258.719
710, 4.62459, 259.75, 258.928
720, 4.74126, 259.731, 258.746
730, 4.70489, 259.773, 258.608
740, 4.43313, 259.773, 258.575
750, 4.63615, 259.752, 258.759
760, 5.03344, 259.774, 258.238
770, 4.5198, 259.991, 258.996
780, 4.7564, 259.991, 259.002
790, 4.85762, 260.008, 258.839
800, 5.17905, 259.861, 258.45
810, 4.92531, 259.712, 258.409
820, 5.0896, 259.859, 258.131
830, 5.07961, 260.109, 258.854
840, 4.82922, 259.943, 258.889
850, 4.63827, 260.063, 259.019
860, 4.7884, 260.086, 259.076
870, 4.6684, 259.965, 258.602
880, 4.98743, 259.801, 257.676
890, 4.66066, 259.727, 258.991
900, 4.86127, 259.597, 258.077
910, 4.9748, 259.532, 258.341
920, 5.08628, 259.609, 257.949
930, 4.43366, 259.526, 258.548
940, 4.46745, 259.737, 258.514
950, 5.02889, 259.889, 258.458
960, 4.86794, 259.771, 258.655
970, 4.78922, 259.629, 258.591
980, 4.88828, 259.756, 258.519
990, 4.94166, 259.806, 258.672
