update, shannon_diversity, max_fitness, avg_fitness, non_inf
0, 4.46531, 207.304, 201.735, 0.973136
10, 4.85379, 215.589, 212.797, 0.98705
20, 4.93874, 222.441, 220.529, 0.991403
30, 4.87895, 228.37, 226.456, 0.99162
40, 5.41269, 233.512, 231.323, 0.990623
50, 4.77167, 238.256, 236.014, 0.990588
60, 4.77727, 241.312, 239.681, 0.993241
70, 5.03101, 243.404, 241.675, 0.992897
80, 5.0635, 246.509, 244.176, 0.990535
90, 5.0274, 249.098, 247.647, 0.994178
100, 4.48626, 251.25, 249.967, 0.994894
110, 4.85185, 252.981, 251.964, 0.995978
120, 4.86097, 253.958, 252.109, 0.992719
130, 4.72411, 255.307, 253.57, 0.993194
140, 4.29606, 256.601, 254.644, 0.992372
150, 4.88798, 257.683, 255.982, 0.9934
160, 4.91515, 258.108, 256.73, 0.99466
170, 5.02768, 258.867, 257.536, 0.994856
180, 4.94505, 259.762, 258.408, 0.994789
190, 4.75139, 259.9, 259.018, 0.99661
200, 4.73504, 259.811, 258.629, 0.995451
210, 4.96233, 260.223, 258.593, 0.993736
220, 4.95172, 260.667, 259.282, 0.994688
230, 4.98025, 260.786, 259.479, 0.99499
240, 4.64076, 261.031, 259.84, 0.995438
250, 4.8111, 261.333, 259.474, 0.992885
260, 4.87159, 261.519, 259.66, 0.992893
270, 4.95794, 261.894, 260.859, 0.996048
280, 4.86616, 261.923, 260.847, 0.995895
290, 4.60406, 261.911, 260.583, 0.99493
300, 4.56029, 261.975, 261.265, 0.997291
310, 4.74962, 262.32, 261.238, 0.995877
320, 4.32444, 262.296, 260.919, 0.994747
330, 4.77125, 262.348, 261.052, 0.99506
340, 4.7043, 262.616, 261.435, 0.995504
350, 4.83908, 262.814, 262.027, 0.997006
360, 4.61641, 262.851, 261.706, 0.995643
370, 4.69268, 262.908, 261.652, 0.995225
380, 5.03862, 263.05, 261.611, 0.994528
390, 4.4524, 263.131, 262.287, 0.996791
400, 4.74965, 263.279, 262.322, 0.996365
410, 5.20206, 263.266, 262.32, 0.996408
420, 4.97495, 263.303, 261.699, 0.993908
430, 5.15302, 263.329, 262.351, 0.996286
440, 4.80015, 262.978, 261.585, 0.994703
450, 4.77848, 262.877, 261.857, 0.99612
460, 4.88421, 262.718, 261.479, 0.995282
470, 5.09658, 262.97, 261.229, 0.99338
480, 5.32141, 262.862, 261.73, 0.995694
490, 5.06139, 263.465, 262.125, 0.994914
500, 4.63821, 263.159, 261.996, 0.995581
510, 4.82428, 263.088, 262.059, 0.996088
520, 4.79858, 263.006, 261.791, 0.99538
530, 4.50086, 263.18, 261.755, 0.994585
540, 4.95987, 263.116, 262.143, 0.996303
550, 4.67067, 262.943, 261.511, 0.994553
560, 4.5373, 262.868, 261.793, 0.99591
570, 4.90783, 262.805, 261.403, 0.994666
580, 4.86231, 262.807, 261.324, 0.994355
590, 5.00784, 262.744, 261.654, 0.995852
600, 5.0755, 262.994, 261.555, 0.994526
610, 5.27847, 263.079, 260.706, 0.990978
620, 4.44537, 263.108, 261.976, 0.995694
630, 4.56395, 263.027, 262.278, 0.997153
640, 5.08298, 262.899, 261.935, 0.996335
650, 4.63724, 263.051, 262.004, 0.99602
660, 4.67999, 262.798, 261.497, 0.995049
670, 4.85544, 262.702, 261.865, 0.996815
680, 4.33492, 262.782, 261.852, 0.996462
690, 5.20563, 262.978, 261.369, 0.993882
700, 5.04504, 262.994, 261.251, 0.993373
710, 5.23834, 262.864, 261.377, 0.994342
720, 4.73827, 263.075, 261.898, 0.995525
730, 4.52334, 263.007, 261.754, 0.995235
740, 4.77762, 263.087, 262.195, 0.996609
750, 5.18328, 263.116, 262.165, 0.996384
760, 4.91583, 263.211, 261.515, 0.993559
770, 4.62159, 262.972, 261.566, 0.994651
780, 4.70835, 263.055, 262.137, 0.996509
790, 4.73097, 263.012, 261.68, 0.994935
800, 4.48985, 262.956, 262.051, 0.996561
810, 4.81912, 262.785, 261.955, 0.99684
820, 4.69884, 262.807, 261.557, 0.995244
830, 4.62459, 262.787, 261.821, 0.996324
840, 4.50846, 262.901, 262.132, 0.997074
850, 4.72883, 262.848, 261.871, 0.996282
860, 4.89573, 263.029, 261.595, 0.994548
870, 5.13868, 262.974, 261.068, 0.992752
880, 4.86051, 263.23, 262.373, 0.996742
890, 4.82796, 263.23, 262.193, 0.996059
900, 4.25838, 263.257, 262.438, 0.996891
910, 4.37984, 262.806, 261.7, 0.995792
920, 4.25481, 262.931, 262.083, 0.996774
930, 4.46998, 262.836, 261.896, 0.996426
940, 4.59105, 262.709, 261.859, 0.996766
950, 4.69636, 262.721, 261.861, 0.996726
960, 5.0107, 262.828, 261.346, 0.994362
970, 4.86438, 263.206, 262.076, 0.995707
980, 4.72962, 263.314, 261.845, 0.994422
990, 4.47247, 263.366, 262.054, 0.995019
