update, shannon_diversity, max_fitness, avg_fitness, non_inf
0, 4.39189, 200.61, 194.645, 0.970266
10, 4.90726, 207.292, 205.119, 0.989515
20, 4.97861, 214.003, 212.953, 0.995093
30, 5.18971, 221.381, 218.911, 0.988842
40, 4.85662, 225.651, 223.937, 0.992405
50, 5.1666, 229.572, 227.85, 0.992501
60, 5.17379, 233.361, 230.712, 0.988649
70, 5.33943, 236.107, 233.689, 0.98976
80, 5.06359, 240, 237.475, 0.989479
90, 5.25366, 242.066, 240.251, 0.992499
100, 5.21296, 244.395, 242.213, 0.991072
110, 4.94166, 245.935, 244.248, 0.99314
120, 4.81568, 247.604, 245.275, 0.990592
130, 5.09483, 248.954, 246.713, 0.991001
140, 4.89534, 249.64, 248.426, 0.995136
150, 4.89829, 250.555, 248.602, 0.992205
160, 4.76319, 251.322, 249.896, 0.994326
170, 4.90116, 251.729, 250.722, 0.996
180, 5.12621, 252.057, 250.467, 0.993693
190, 5.18369, 252.087, 250.707, 0.994524
200, 4.7287, 252.576, 251.683, 0.996461
210, 4.88573, 253.005, 251.496, 0.994035
220, 4.4375, 253.49, 252.052, 0.994326
230, 5.07549, 254.411, 252.7, 0.993271
240, 4.42941, 254.57, 253.952, 0.99757
250, 5.15445, 254.601, 253.655, 0.996285
260, 4.33553, 254.881, 254.26, 0.997564
270, 4.53271, 254.891, 253.923, 0.996203
280, 5.12092, 254.935, 253.145, 0.992979
290, 4.91753, 255.555, 254.208, 0.994728
300, 4.73231, 255.66, 254.354, 0.994893
310, 4.93499, 255.66, 254.5, 0.995463
320, 5.26332, 255.711, 254.338, 0.994629
330, 5.08157, 255.914, 254.144, 0.993084
340, 4.79062, 255.756, 254.781, 0.996189
350, 5.03803, 255.861, 254.931, 0.996365
360, 5.00582, 255.829, 254.411, 0.994456
370, 4.6501, 255.8, 254.285, 0.994076
380, 4.60256, 255.818, 254.997, 0.996788
390, 4.50637, 256.099, 254.582, 0.994077
400, 4.77785, 255.756, 254.788, 0.996219
410, 4.36067, 255.913, 254.506, 0.994501
420, 4.73902, 255.899, 254.53, 0.994652
430, 4.61761, 255.778, 254.546, 0.995182
440, 4.71912, 255.826, 254.766, 0.995856
450, 4.5086, 255.912, 254.61, 0.994915
460, 5.25759, 255.857, 253.82, 0.992041
470, 4.28541, 255.737, 254.512, 0.995207
480, 4.63905, 255.825, 254.424, 0.994521
490, 4.79051, 255.876, 254.751, 0.995605
500, 4.67564, 255.897, 254.622, 0.995014
510, 5.05101, 255.897, 254.528, 0.994647
520, 4.55568, 255.69, 254.66, 0.995972
530, 5.00881, 255.69, 254.213, 0.994226
540, 4.91667, 255.557, 254.592, 0.996224
550, 4.3903, 255.435, 254.504, 0.996356
560, 4.96944, 255.365, 254.426, 0.996326
570, 5.22572, 255.223, 253.936, 0.994959
580, 5.05615, 255.162, 253.986, 0.995389
590, 4.68034, 254.894, 253.915, 0.996161
600, 5.02722, 255.123, 254.162, 0.996235
610, 4.77402, 254.941, 254.138, 0.996851
620, 4.20239, 255.082, 253.881, 0.995291
630, 4.75361, 255.174, 253.764, 0.994474
640, 4.80656, 255.267, 253.338, 0.992446
650, 4.88409, 255.372, 254.012, 0.994677
660, 4.32469, 255.319, 254.162, 0.995468
670, 4.66595, 255.333, 254.575, 0.997034
680, 4.69587, 255.442, 254.356, 0.995745
690, 4.91701, 255.281, 254.203, 0.995775
700, 4.99022, 255.095, 253.927, 0.995423
710, 4.71099, 255.135, 254.08, 0.995865
720, 4.80266, 255.16, 253.488, 0.993448
730, 4.90356, 254.897, 253.806, 0.995722
740, 4.94946, 255.243, 253.923, 0.994831
750, 4.69231, 255.189, 254.182, 0.996055
760, 4.85056, 255.115, 253.851, 0.995047
770, 4.7841, 255.218, 253.881, 0.994761
780, 4.85669, 255.45, 254.268, 0.995374
790, 4.57464, 255.586, 254.517, 0.995817
800, 4.81044, 255.373, 254.406, 0.996212
810, 4.85876, 255.517, 254.301, 0.995243
820, 4.32437, 255.534, 254.804, 0.997141
830, 4.22029, 255.485, 254.53, 0.996264
840, 4.41637, 255.424, 254.646, 0.996956
850, 4.83847, 255.103, 253.86, 0.995124
860, 4.47544, 255.126, 254.042, 0.995753
870, 5.04509, 255.047, 253.931, 0.995622
880, 5.14656, 255.193, 254.391, 0.996859
890, 4.91518, 255.22, 254.245, 0.996176
900, 4.98106, 255.444, 254.002, 0.994356
910, 4.5009, 255.428, 254.623, 0.996849
920, 5.10365, 255.343, 254.174, 0.995421
930, 4.84242, 255.441, 254.526, 0.996419
940, 5.17502, 255.341, 253.944, 0.994525
950, 5.16663, 255.31, 254.392, 0.996403
960, 5.28099, 255.286, 254.157, 0.99558
970, 4.63575, 255.425, 254.042, 0.994586
980, 5.03353, 255.488, 254.205, 0.994978
990, 4.40224, 255.44, 254.525, 0.996416
