update, shannon_diversity, max_fitness, avg_fitness
0, 4.50353, 215.062, 207.275
10, 5.06019, 220.314, 218.858
20, 5.07847, 227.453, 225.221
30, 5.19192, 232.52, 230.228
40, 4.47296, 238.949, 235.88
50, 5.00663, 243.473, 240.586
60, 5.04398, 247.649, 245.639
70, 5.0981, 251.421, 249.752
80, 5.1131, 253.88, 252.278
90, 5.05549, 256.257, 254.873
100, 5.06092, 258.038, 257.072
110, 4.80547, 260.492, 258.393
120, 5.16082, 262.264, 260.567
130, 4.72874, 264.296, 262.592
140, 5.09693, 265.473, 264.244
150, 5.17461, 266.674, 264.971
160, 5.2796, 267.836, 265.661
170, 5.15924, 267.98, 266.603
180, 4.8444, 268.486, 266.986
190, 4.7962, 268.678, 267.72
200, 4.88344, 269.333, 268.001
210, 5.15715, 269.56, 267.947
220, 5.13698, 269.895, 268.499
230, 4.75478, 270.343, 268.192
240, 4.4103, 270.391, 269.116
250, 4.8447, 270.807, 269.803
260, 4.79448, 270.944, 269.461
270, 4.79603, 271.709, 269.829
280, 5.1246, 271.765, 270.262
290, 5.10786, 271.753, 270.47
300, 4.86134, 271.694, 270.608
310, 5.0085, 272.138, 270.588
320, 4.5676, 272.324, 270.615
330, 4.86053, 272.29, 270.774
340, 5.04005, 271.953, 270.998
350, 4.89708, 272.026, 270.635
360, 5.08198, 272.37, 270.716
370, 4.78077, 272.246, 271.413
380, 5.03314, 272.217, 271.219
390, 4.86708, 272.349, 271.249
400, 4.72738, 272.403, 271.153
410, 4.52683, 272.428, 271.199
420, 4.75047, 272.564, 271.315
430, 4.99778, 272.564, 271.473
440, 4.75025, 272.583, 271.284
450, 5.00847, 272.518, 270.964
460, 4.75085, 272.462, 271.617
470, 4.9726, 272.518, 271.168
480, 4.76994, 272.203, 271.117
490, 4.48006, 272.07, 270.813
500, 4.7195, 272.358, 270.778
510, 4.55935, 272.341, 270.845
520, 4.58314, 272.546, 271.253
530, 4.95247, 272.462, 270.602
540, 5.08216, 272.378, 270.727
550, 4.8995, 272.334, 271.275
560, 4.97449, 272.254, 271.294
570, 4.69789, 272.366, 271.524
580, 4.62483, 272.368, 271.441
590, 5.09449, 272.58, 271.651
600, 4.36168, 272.519, 271.72
610, 4.74853, 272.392, 271.355
620, 4.63439, 272.329, 271.108
630, 5.18524, 272.186, 271.232
640, 4.95071, 272.342, 270.964
650, 4.45313, 272.126, 270.808
660, 5.03726, 272.093, 270.612
670, 4.89352, 272.066, 270.8
680, 5.02798, 272.05, 270.62
690, 4.88979, 272.09, 270.52
700, 4.69756, 272.021, 270.416
710, 4.54917, 271.921, 270.893
720, 5.11808, 271.933, 270.465
730, 5.00219, 271.944, 270.794
740, 4.55078, 272.077, 270.97
750, 4.98235, 272.088, 270.436
760, 4.61402, 272.246, 271.263
770, 4.98847, 272.235, 270.717
780, 4.4356, 272.052, 271.309
790, 4.54599, 272.075, 270.954
800, 5.0088, 272.221, 270.834
810, 4.77714, 272.136, 271.229
820, 5.05073, 272.07, 270.548
830, 4.65096, 271.918, 271.09
840, 5.06348, 271.951, 270.668
850, 3.77943, 272.122, 271.01
860, 5.01545, 272.132, 270.827
870, 4.35806, 272.052, 271.137
880, 4.78399, 272.06, 270.43
890, 4.98644, 272.07, 271.044
900, 5.28421, 272.032, 270.68
910, 4.9178, 271.781, 270.081
920, 4.1499, 271.921, 270.787
930, 4.79588, 272.163, 270.561
940, 4.89677, 272.383, 270.583
950, 5.09159, 272.408, 271.172
960, 4.41254, 272.472, 271.535
970, 4.50845, 272.299, 271.307
980, 5.19601, 272.188, 270.998
990, 4.96258, 272.483, 271.259
