update, shannon_diversity, max_fitness, avg_fitness, non_inf
0, 5.12866, 208.983, 203.605, 0.974267
10, 5.12366, 218.736, 217.839, 0.995899
20, 5.18424, 227.255, 225.839, 0.993768
30, 5.46042, 234.566, 233.404, 0.995043
40, 5.43395, 240.313, 239.394, 0.996176
50, 5.36241, 246.036, 244.772, 0.994864
60, 5.23796, 250.96, 249.971, 0.996058
70, 5.1927, 253.861, 253.164, 0.997254
80, 5.28062, 256.916, 256.136, 0.996965
90, 5.04881, 259.081, 258.436, 0.997512
100, 4.91797, 261.19, 260.181, 0.99614
110, 5.18181, 262.583, 261.906, 0.997422
120, 4.78074, 263.894, 263.326, 0.997847
130, 4.94032, 264.773, 264.178, 0.997752
140, 4.88144, 265.691, 264.95, 0.997211
150, 4.57502, 266.326, 265.823, 0.998111
160, 4.74659, 266.681, 266.162, 0.998053
170, 3.98689, 266.974, 266.556, 0.998435
180, 4.79451, 267.22, 266.725, 0.998151
190, 4.00955, 267.354, 266.965, 0.998546
200, 4.6279, 267.449, 267.086, 0.998643
210, 3.66394, 267.66, 267.234, 0.998409
220, 4.55789, 267.693, 267.225, 0.998252
230, 4.26448, 267.817, 267.361, 0.998295
240, 3.26044, 267.82, 267.45, 0.998618
250, 3.10309, 267.907, 267.527, 0.998584
260, 3.87318, 267.907, 267.402, 0.998117
270, 4.40785, 267.972, 267.451, 0.998059
280, 4.07198, 267.972, 267.573, 0.998513
290, 4.25328, 267.972, 267.526, 0.998337
300, 3.77829, 267.972, 267.587, 0.998566
310, 3.3299, 267.972, 267.548, 0.99842
320, 3.04161, 267.972, 267.67, 0.998874
330, 2.89209, 267.972, 267.628, 0.998718
340, 3.89016, 267.98, 267.62, 0.99866
350, 3.33151, 267.98, 267.594, 0.99856
360, 3.78623, 267.98, 267.49, 0.998175
370, 2.80701, 267.98, 267.62, 0.998657
380, 4.79039, 267.98, 267.506, 0.998231
390, 4.1293, 267.98, 267.536, 0.998343
400, 3.83452, 267.98, 267.527, 0.998312
410, 3.72376, 267.98, 267.58, 0.99851
420, 3.93991, 267.98, 267.483, 0.998149
430, 3.53654, 267.98, 267.613, 0.998632
440, 3.8626, 267.98, 267.58, 0.998508
450, 3.41995, 267.98, 267.575, 0.99849
460, 4.39691, 267.98, 267.516, 0.998269
470, 4.32866, 267.98, 267.531, 0.998326
480, 4.43774, 267.98, 267.52, 0.998286
490, 3.5321, 267.98, 267.526, 0.998309
500, 4.20558, 267.98, 267.587, 0.998537
510, 4.07543, 267.98, 267.545, 0.998379
520, 3.99862, 267.98, 267.551, 0.998399
530, 4.22561, 267.98, 267.589, 0.998544
540, 4.81688, 267.98, 267.547, 0.998385
550, 4.72787, 267.98, 267.406, 0.997858
560, 2.96456, 267.98, 267.626, 0.998682
570, 3.15401, 267.98, 267.66, 0.998808
580, 2.87454, 267.98, 267.598, 0.998575
590, 2.78946, 267.98, 267.592, 0.998554
600, 4.35515, 267.98, 267.57, 0.998471
610, 4.37491, 267.98, 267.565, 0.998454
620, 3.32806, 267.98, 267.523, 0.998298
630, 3.68558, 267.98, 267.537, 0.99835
640, 2.78825, 267.98, 267.585, 0.998528
650, 3.95779, 267.98, 267.515, 0.998265
660, 3.91755, 267.98, 267.541, 0.998363
670, 3.625, 267.98, 267.547, 0.998385
680, 5.28738, 267.98, 267.435, 0.997967
690, 4.75948, 267.98, 267.532, 0.99833
700, 4.45576, 267.962, 267.494, 0.998253
710, 4.50734, 267.962, 267.505, 0.998295
720, 3.50113, 267.962, 267.561, 0.998502
730, 3.63287, 267.977, 267.526, 0.998318
740, 4.91842, 267.977, 267.541, 0.998373
750, 4.34963, 267.977, 267.568, 0.998473
760, 3.45972, 267.977, 267.538, 0.998362
770, 4.39452, 267.98, 267.484, 0.99815
780, 4.18212, 267.98, 267.532, 0.998328
790, 3.80115, 267.98, 267.514, 0.998265
800, 3.29044, 267.98, 267.628, 0.998687
810, 3.92006, 267.98, 267.551, 0.998402
820, 3.59311, 267.98, 267.603, 0.998596
830, 3.38568, 267.98, 267.61, 0.99862
840, 3.70796, 267.98, 267.549, 0.998393
850, 3.21817, 267.98, 267.588, 0.99854
860, 3.72953, 267.98, 267.53, 0.998321
870, 3.27478, 267.98, 267.635, 0.998714
880, 3.3184, 267.98, 267.561, 0.998439
890, 3.59415, 267.98, 267.504, 0.998225
900, 3.41525, 267.98, 267.607, 0.998609
910, 3.34662, 267.98, 267.642, 0.998739
920, 4.20853, 267.98, 267.588, 0.99854
930, 3.39634, 267.98, 267.584, 0.998522
940, 4.18347, 267.98, 267.607, 0.998609
950, 4.2283, 267.98, 267.528, 0.998316
960, 3.69001, 267.98, 267.547, 0.998385
970, 3.90755, 267.98, 267.527, 0.998313
980, 4.56286, 267.98, 267.506, 0.998235
990, 4.55163, 267.98, 267.516, 0.998272
