10,37
20,62
30,57
40,100
50,97
60,99
70,99
80,99
90,99
100,99

10,80
20,77
30,95
40,94
50,74
60,95
70,99
80,95
90,96
100,99

10,80
20,98
30,98
40,99
50,100
60,95
70,93
80,99
90,99
100,99

10,61
20,95
30,98
40,90
50,93
60,100
70,100
80,98
90,99
100,99

10,99
20,99
30,97
40,97
50,100
60,99
70,99
80,99
90,98
100,98

10,61
20,88
30,97
40,97
50,99
60,98
70,99
80,100

90,98
100,99
10,98
20,99
30,99
40,100
50,93
60,98
70,99
80,81
90,86
100,94

10,91
20,77
30,95
40,97
50,97
60,95
70,99
80,100
90,99
100,99

10,61
20,77
30,95
40,97
50,99
60,99
70,99
80,100
90,99
100,99

10,61
20,62
30,95
40,100
50,100
60,99
70,97
80,99
90,98
100,94

10,91
20,98
30,97
40,100
50,100
60,100
70,100
80,99
90,99
100,99
