10,37
20,40
30,87
40,90
50,74
60,68
70,86
80,52
90,47
100,39

10,80
20,62
30,97
40,97
50,86
60,89
70,100
80,94
90,86
100,81

10,61
20,88
30,75
40,68
50,39
60,31
70,76
80,69
90,98
100,70

10,61
20,62
30,36
40,11
50,39
60,6
70,26
80,36
90,17
100,12

10,80
20,62
30,75
40,68
50,97
60,95
70,86
80,81
90,86
100,89

10,80
20,40
30,16
40,81
50,86
60,16
70,42
80,36
90,17
100,39

10,61
20,62
30,75
40,68
50,39
60,89
70,76
80,81
90,86
100,70

10,37
20,77
30,16
40,90
50,100
60,98
70,93
80,98
90,61
100,70

10,80
20,77
30,75
40,97
50,93
60,100
70,100
80,100
90,96
100,89

10,37
20,77
30,57
40,29
50,6
60,31
70,76
80,52
90,47
100,89
