10,61
20,88
30,16
40,11
50,6
60,16
70,26
80,69
90,17
100,12

10,37
20,95
30,95
40,90
50,74
60,90
70,93
80,81
90,61
100,70

10,61
20,99
30,97
40,68
50,58
60,31
70,26
80,20
90,17
100,1

10,97
20,19
30,36
40,11
50,58
60,68
70,26
80,36
90,31
100,39

10,61
20,95
30,98
40,94
50,97
60,50
70,43
80,69
90,75
100,39

10,61
20,88
30,95
40,81
50,39
60,31
70,61
80,69
90,61
100,56

10,61
20,40
30,87
40,90
50,93
60,98
70,93
80,98
90,96
100,98

10,61
20,62
30,36
40,11
50,39
60,68
70,13
80,9
90,47
100,25

10,37
20,95
30,75
40,50
50,74
60,50
70,61
80,69
90,61
100,70

10,37
20,88
30,57
40,11
50,20
60,68
70,13
80,20
90,47
100,39
